"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"25554249-a4cf-41cc-8b07-e736e9cc9059","Audric","Estime",,"3.6",,"RB","Denver Broncos",,
"915c8cb6-a68f-491f-adfe-10be7ee3b471","Robert","Woods",,"3.4",,"WR","Houston Texans",,
"acd978a6-983a-4918-8af0-215769cd4c16","Gus","Edwards",,"3.3",,"RB","Los Angeles Chargers","QUESTIONABLE",
"c46627e9-94fa-45a2-8327-afd1e6038814","Jahan","Dotson",,"3.1",,"WR","Philadelphia Eagles",,
"47316f2e-ea1c-469e-8492-5ce2fe7e5539","Trey","Palmer",,"3.0",,"WR","Tampa Bay Buccaneers",,
"261717e9-637e-4836-bf96-366c0efce318","Bo","Melton",,"3.0",,"WR","Green Bay Packers",,
"81ab1e3a-fbea-4d8c-8005-16baee5c901f","Mike","Williams",,"3.0",,"WR","Pittsburgh Steelers",,
"00801ce3-0660-4eba-b66b-cd77929a7ed1","Troy","Franklin",,"2.9",,"WR","Denver Broncos",,
"de3e3a4e-8ee6-4bb5-af82-4cffd32658a3","Curtis","Samuel",,"2.6",,"WR","Buffalo Bills",,
"5e04e114-eb08-4ae8-a91c-7280be183436","Jamison","Crowder",,"2.5",,"WR","Washington Commanders",,
"e745f0df-8afc-4c99-b956-00e02af90de8","Tutu","Atwell",,"2.4",,"WR","Los Angeles Rams",,
"0ed715de-cd8e-4837-87ec-a2c5edc1784b","Malik","Heath",,"2.1",,"WR","Green Bay Packers",,
"75ff756e-5579-4233-88e8-c9eabc414622","K.J.","Osborn",,"2.1",,"WR","Washington Commanders","QUESTIONABLE",
"0141d09a-fa6b-4a08-a24f-c6ba8b1f3ac7","Tylan","Wallace",,"2.0",,"WR","Baltimore Ravens",,
"0ba7ae7a-4ed4-494c-ba78-ed6275b337db","Adam","Trautman",,"1.8",,"TE","Denver Broncos",,
"ed01788b-6c0f-44fc-a45a-d288e02552c2","Ronnie","Rivers",,"1.7",,"RB","Los Angeles Rams",,
"5a3dc2c5-838b-443c-b771-b5282140fe55","Hassan","Haskins",,"1.7",,"RB","Los Angeles Chargers",,
"c1e277e4-cde3-4a14-ab1a-1150c962ed9d","Devontez","Walker",,"1.6",,"WR","Baltimore Ravens",,
"928094dd-0192-4c70-8e0e-9c311c21597d","Cade","Stover",,"1.6",,"TE","Houston Texans",,
"f11ed580-a062-4863-9f73-c6edbd6704bf","Johnny","Mundt",,"1.5",,"TE","Minnesota Vikings",,
"f002f57c-ea53-416c-a4f1-8c3357d20138","Sean","Tucker",,"1.4",,"RB","Tampa Bay Buccaneers",,
"cfd88074-5bb9-4021-975a-1e8704fce9d3","Brandon","Powell",,"1.4",,"WR","Minnesota Vikings",,
"bc3cfe14-15ac-462a-a129-dcc0ef31ba6e","Rakim","Jarrett",,"1.4",,"WR","Tampa Bay Buccaneers",,
"212c94d6-00c3-4097-8860-383d76db18fb","Ainias","Smith",,"1.3",,"WR","Philadelphia Eagles",,
"16bba436-96e1-4c6f-994a-970c08b8dd7d","Keaton","Mitchell",,"1.1",,"RB","Baltimore Ravens",,
"a4594e78-4fba-47ed-9571-11838517106e","Cordarrelle","Patterson",,"1.1",,"RB","Pittsburgh Steelers",,
"fa31ad91-a355-44c5-a3d6-4da9b4ca52c4","Lucas","Krull",,"1.1",,"TE","Denver Broncos",,
"b6153c6a-b36b-49e5-a3da-52d60cdd543b","Tucker","Fisk",,"1.1",,"TE","Los Angeles Chargers",,
"6d7dc488-57aa-4a35-8a9e-101b71048bc9","Trent","Sherfield",,"1.0",,"WR","Minnesota Vikings",,
"575b0568-448a-43c6-9548-b92a42e3410b","Ben","Skowronek",,"1.0",,"WR","Pittsburgh Steelers",,
"98d98596-118f-4b4d-a327-12588a448a0b","Davis","Allen",,"1.0",,"TE","Los Angeles Rams",,
"d412e288-0037-4b10-8329-eb1d93d7bd88","Grant","Calcaterra",,"1.0",,"TE","Philadelphia Eagles",,
"b2b39f8b-c6f0-40d2-9c99-d1feb34ddbe4","Kimani","Vidal",,"0.9",,"RB","Los Angeles Chargers",,
"8e13f161-ab76-4ed2-b4e6-6d6b5bb5ec8b","MyCole","Pruitt",,"0.9",,"TE","Pittsburgh Steelers","QUESTIONABLE",
"112550bb-c7e2-4d04-98d5-106ad5c9f0f3","Jordan","Whittington",,"0.9",,"WR","Los Angeles Rams",,
"c07ddf24-59ee-431f-9ec5-0319d0796581","Ty","Chandler",,"0.8",,"RB","Minnesota Vikings",,
"b95d2dfe-2472-4632-bfa6-9fc592efa14d","John","Bates",,"0.8",,"TE","Washington Commanders",,
"a21134da-c78d-4dd6-9e94-edf6bfd91b1e","Patrick","Ricard",,"0.7",,"RB","Baltimore Ravens",,
"2d755be5-2d4e-46c9-b772-441c64145f97","Quintin","Morris",,"0.7",,"TE","Buffalo Bills",,
"6123b25f-3b32-48e2-ad34-58cb1a2b669c","Hayden","Hurst",,"0.6",,"TE","Los Angeles Chargers",,
"8169b1b0-e373-4697-987e-b0a01eff2295","Scotty","Miller",,"0.5",,"WR","Pittsburgh Steelers",,
"9f61da67-bc74-4deb-8d94-311863c7fc48","Hunter","Long",,"0.5",,"TE","Los Angeles Rams","QUESTIONABLE",
"08bb5bcc-3779-4511-a8b8-d4067ce6199f","Ben","Sinnott",,"0.5",,"TE","Washington Commanders",,
"45e64163-1ff9-4ff7-ae2c-e49cdce847a3","Devin","Culp",,"0.3",,"TE","Tampa Bay Buccaneers",,
"1732fd08-3035-488a-a313-84ee412711b1","Cody","Schrader",,"0.2",,"RB","Los Angeles Rams",,
"66d6d0eb-d429-4424-b2d3-9504be481a52","British","Brooks",,"0.0",,"RB","Houston Texans","OUT",
"693914db-0143-438c-9fc6-772097053e24","Jarrett","Stidham",,"0.0",,"QB","Denver Broncos",,
"6b7a0502-89c2-4832-a562-c145b8162d8c","Brevin","Jordan",,"0.0",,"TE","Houston Texans","OUT",
"709a7de2-e24b-46d1-85d7-241cf5389b45","Ko","Kieft",,"0.0",,"TE","Tampa Bay Buccaneers",,
"726d7022-df0e-49f9-9f31-debe13506b17","C.J.","Uzomah",,"0.0",,"TE","Philadelphia Eagles","OUT",
"745b1e76-aab6-404e-903d-88af6234067c","Nate","Adkins",,"0.0",,"TE","Denver Broncos",,
"757016fb-4c02-444c-a8eb-de41dd826fe0","Chris","Godwin",,"0.0",,"WR","Tampa Bay Buccaneers","OUT",
"78292274-bfe3-4906-aa1a-44243c3d136b","Ben","Sims",,"0.0",,"TE","Green Bay Packers",,
"7a35c24a-8ebf-4292-911a-01657c18e513","Davis","Mills",,"0.0",,"QB","Houston Texans",,
"7a6aed3d-1134-42c7-a5b3-7ae11cdda748","Malik","Willis",,"0.0",,"QB","Green Bay Packers",,
"7c89ac5f-0442-45b2-9732-b682f850507a","J.J.","McCarthy",,"0.0",,"QB","Minnesota Vikings","OUT",
